StreetPostcode,ReplacedPipes,BuiltAfter1970,Easting,Northing,WOAName,Region,CensusHouseholdCount2011,UrbanRural,Phosphorus,LeadMeasurement,BuildYear,MeanHouseAge,MedianHouseAge,BuildYearRounded,LeadPresence,TotalPoints,LeadProportion
AB314FJ,0,1,369731,796905,Invercannie WOA,DON,10,3,0,0.2,2009.2,9.8,10,2009,0,1,0
AB315ED,0,1,379127,798871,Invercannie WOA,DON,13,6,0,0.2,1998.692308,20.30769231,20,1999,0,2,0
AB315ZX,0,1,370680,796726,Invercannie WOA,DON,16,3,0,0.2,2002.055556,16.94444444,17,2002,0,2,0
AB345BG,0,1,359013,799608,Invercannie WOA,DON,14,7,0,0.2,1999,20,20,1999,0,2,0
AB379EX,1,0.5,317040,818516,Blairnamarrow WOA,DON,49,7,0,5.223529412,1947.4,71.6,37,1947,16,17,0.941176471
AB379HA,1,0.25,316668,819019,Blairnamarrow WOA,DON,39,7,0,4.183333333,1914.416667,104.5833333,139,1914,2,6,0.333333333
AB379HU,0,0.533333333,316828,818959,Blairnamarrow WOA,DON,29,7,0,0.7,1983,36,20,1983,1,3,0.333333333
AB387BP,0,1,327835,849303,Spey Badentinan WOA,DON,12,6,1183.960784,0.2,1997.444444,21.55555556,22,1997,0,2,0
AB387QP,0,0.8,322103,841511,Spey Badentinan WOA,DON,40,7,1183.960784,0.2,1981.333333,37.66666667,14,1981,0,4,0
AB392XZ,0,1,385918,786840,Invercannie WOA,DON,20,2,0,0.2,2000.5,18.5,18,2000,0,2,0
AB421UF,0,1,413268,846539,Forehill WOA,DON,20,2,0,0.2,2001,18,18,2001,0,3,0
AB422PR,0,1,411968,844423,Forehill WOA,DON,18,2,0,0.2,1998.272727,20.72727273,21,1998,0,3,0
AB544HD,0,0.272727273,349886,827148,Inver-Mann-Turriff WOA,DON,19,7,696.9215686,11.75,1907.818182,111.1818182,149,1908,3,6,0.5
AB565QR,0,0,339884,864330,Spey Badentinan WOA,DON,42,6,1183.960784,1.18,1880.428571,138.5714286,139,1880,3,5,0.6
DD24SB,0,0,335528,731646,Clatto WOA,TAY,10,1,1243.18,0.2,1950,69,69,1950,0,1,0
DD36UB,0,1,340089,731004,Clatto WOA,TAY,15,1,1243.18,3,1996,23,23,1996,1,2,0.5
DD38LB,0,0,339902,732519,Clatto WOA,TAY,10,1,1243.18,4.3,1936.538462,82.46153846,82,1937,1,1,1
DD39UB,0,1,337159,733864,Clatto WOA,TAY,10,1,1243.18,0.2,1997,22,22,1997,0,1,0
DD47HW,0,0,342079,731582,Clatto WOA,TAY,20,1,1243.18,0.2,1934.526316,84.47368421,85,1935,0,2,0
DD54HS,0,0.8,349005,733006,Clatto WOA,TAY,6,1,1243.18,0.2,1971.4,47.6,41.5,1971,0,1,0
DD81BZ,0,0,345182,750509,Lintrathen WOA,TAY,10,2,1003.84,0.2,1929,90,90,1929,0,1,0
DD84EE,0,1,338662,760131,Whitehillocks WOA,TAY,10,6,1342.68,0.2,1997,22,22,1997,0,1,0
DD97RR,0,0,351612,763826,Whitehillocks WOA,TAY,9,6,1342.68,0.2,1948.6,70.4,70,1949,0,1,0
DD97TF,0,0.4,360191,768547,Whitehillocks WOA,TAY,10,6,1342.68,0.2,1940.8,78.2,119,1941,0,1,0
DG109EB,0,0,308572,605160,Moffat WOA,NITH,13,7,904.34,2.233333333,1864,155,119,1864,3,3,1
DG109HB,0,0.454545455,308297,605144,Moffat WOA,NITH,9,7,904.34,0.2,1939.909091,79.09090909,119,1940,0,2,0
DG109HD,0,0,308438,605228,Moffat WOA,NITH,13,7,904.34,0.333333333,1884.588235,134.4117647,119,1885,0,3,0
DG109HT,1,0.1875,308491,605516,Moffat WOA,NITH,14,7,904.34,0.2,1920.625,98.375,119,1921,0,2,0
DG109JX,1,0.173913043,309225,605493,Moffat WOA,NITH,22,7,904.34,4.2,1943.782609,75.2173913,58,1944,2,3,0.666666667
DG111NF,0,1,308395,582382,Black Esk WOA,NITH,10,6,734.2745098,0.2,1991.8,27.2,27,1992,0,1,0
DG111RP,1,0.1,305941,581788,Black Esk WOA,NITH,10,6,734.2745098,0.3,1889.1,129.9,119,1889,0,1,0
DG11BT,0,0,297244,576288,Killylour & Terregles WOA,NITH,15,2,502.7272727,3.65,1960,59,59,1960,1,2,0.5
DG11LP,0,0,297397,576482,Killylour & Terregles WOA,NITH,10,2,502.7272727,4.3,1878.181818,140.8181818,139,1878,2,2,1
DG11SW,0,0.75,297469,581292,Kettleton WOA,NITH,16,6,293.98,0.2,1973.9375,45.0625,37,1974,0,2,0
DG11TE,0,0.142857143,296038,584212,Kettleton WOA,NITH,15,6,293.98,1.5,1883.785714,135.2142857,154,1884,2,2,1
DG11TG,0,0,294236,584252,Kettleton WOA,NITH,7,6,293.98,0.3,1850,169,169,1850,0,1,0
